Topic,Count,Name,Representation,Representative_Docs
1230,18,1230_undpeupartnership_eu partnership_eu dialogue_stabilization,"['undpeupartnership', 'eu partnership', 'eu dialogue', 'stabilization', 'support peaceful', 'peace trust', 'moldova eu', 'peaceful prosperous', 'peacebuilding', 'partnership']","['In #Kosovo, #Cyprus and #Moldova, #EU - partnership brings communities together to restore cultural heritage, which helps to bridge divisions, create a sense of common identity and through it, a sense of peace and trust:', 'In #Cyprus, #Kosovo and #Moldova, #EU - partnership brings communities together to restore cultural heritage, to bridge divisions and create a sense of common identity, of peace and trust:', 'In #Cyprus, #Kosovo and #Moldova, #EU - partnership brings communities together to restore cultural heritage, which helps to bridge divisions, create a sense of common identity and through it, a sense of peace and trust:']"
1231,18,1231_freetibet_taiwanese_freetaiwan_pelosivisit,"['freetibet', 'taiwanese', 'freetaiwan', 'pelosivisit', 'freehk', 'freehk xijinping', 'pelositaiwan', 'pentagon announced', 'pelosivisit pelositaiwan', 'pla']","['#US talks to wide range of #China repression targets in #Taiwan meeting #FreeTibet #FreeTaiwan #FreeHK #XiJinping #FreeUkraine #Pelosi #PelosiVisit #PelosiTaiwan #WeStandWithTaiwan #UN #Japan #SKorea #AUS #India #NATO #UK #EU #CTA #DalaiLama', '#China‘s #PLA is paperTiger &amp; stop these empty threats, #Taiwan is Sovereign County, has right to receive every dignitaries, Tibetans &amp; Taiwanese are welcome #US #FreeTibet #FreeHK #XiJinping #PelosiVisit #PelosiTaiwan #STANDWITHTAIWAN #UN', '#China‘s #PLA is paperTiger &amp; stop these empty threats, #Taiwan is Sovereign County,Tibetans &amp; Taiwanese will support each other #FreeTibet #FreeTaiwan #FreeHK #XiJinping #FreeUkraine #Pelosi #PelosiVisit #WeStandWithTaiwan #UN #Japan #SKorea #US #India #NATO #EU #CTA #DalaiLama']"
1232,18,1232_help want_live close_killed need_want killed,"['help want', 'live close', 'killed need', 'want killed', 'want live', 'ukraine want', 'want', 'kill enemy', 'lives want', 'die want']","['Close the sky over #Ukraine. Or you also want us to be killed?! We need your help. We want to live!! !', 'Close the sky over #Ukraine. Or you also want us to be killed?! We need your help. We want to live!!', 'Close the sky over #Ukraine. Or you also want us to be killed?! We need your help. We want to live!! !!!!']"
1233,18,1233_dying stopputin_council children_children dying_children normal,"['dying stopputin', 'council children', 'children dying', 'children normal', 'let children', 'stop russian', 'stoprussia let', 'ukraine close', 'russian aggression', 'normal life']","['STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! our children are dying!!!! #StopPutin #StopRussia', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! our children are dying!😭 #StopPutin #StopRussia', 'STOP RUSSIAN AGGRESSION AGAINST #UKRAINE. CLOSE THE SKY OVER UKRAINE! EXCLUDE RUSSIA FROM THE SECURITY COUNCIL! our children are dying!!!!! #StopPutin #StopRussia']"
1234,18,1234_qualified immunity_qualified_immunity_overturn qualified,"['qualified immunity', 'qualified', 'immunity', 'overturn qualified', 'overturn', 'nato scot', 'scot', 'subheading', 'repboebert scotus', 'scotus']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert Let me be clear: Due to ""QUALIFIED IMMUNITY"" from SCOTUS, no one will ever see the inside of a jail. That\'s a fact.', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert #ElonMusk Thanks to SCOTUS\'s ""QUALIFIED IMMUNITY"" there will never be a conviction for anything.', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert In the article ""QUALIFIED IMMUNITY"" below, read the short paragraph under subheading, Qualified Immunity Sequencing.']"
1235,18,1235_terrorists create_tax havens_illicit_havens,"['terrorists create', 'tax havens', 'illicit', 'havens', 'monsters like', 'politicians money', 'end dictator', 'creates', 'create world', 'government end']","['AMLO #PUTIN and his 35 godfathers have to be declared war criminals or terrorists by the UN, we have to create a world government to end dictator governments, eliminate the tax havens of corrupt politicians and all the money of illicit origin that creates monsters like Putin.', '""Putin"" PUTIN and his 35 godfathers have to be declared war criminals or terrorists by the #UN, we have to create a world government to end dictator governments, eliminate the tax havens of corrupt politicians and all the money of illicit origin that creates monsters like #Putin.', '#PUTIN and his 35 godfathers have to be declared war criminals or terrorists by the UN, we have to create a world government to end dictator governments, eliminate the tax havens of corrupt politicians and all the money of illicit origin that creates monsters like Putin.']"
1236,18,1236_ic turn_pledges action_turn pledges_action civilians,"['ic turn', 'pledges action', 'turn pledges', 'action civilians', 'called ic', 'genocide 700daysoftigraygenocide', 'protected ethiopian', 'civilians protected', 'amp committing', 'committed amp']","['The has called the IC, We Must turn pledges INTO ACTION""Where’s the action❓How can civilians be protected when Ethiopian &amp; Eritrean are committed &amp; committing a GENOCIDE #700DaysOfTigrayGenocide #EndTigrayGenocide', 'The has called the IC, "" We Must turn pledges INTO ACTION"" Where’s the action? How can civilians be protected when Ethiopian &amp; Eritrean are committed &amp; committing a GENOCIDE❓ #700DaysOfTigrayGenocide💔 #EndTigrayGenocide', 'The has called the IC, "" We Must turn pledges INTO ACTION"" Where’s the action How can civilians be protected when Ethiopian &amp; Eritrean are committed &amp; committing a GENOCIDE #700DaysOfTigrayGenocide💔#EndTigrayGenocide']"
1237,18,1237_discriminative_sanctions invading_crimes continues_slapping,"['discriminative', 'sanctions invading', 'crimes continues', 'slapping', 'amp slapping', 'continues commit', 'russia sanctions', 'ukraine sanctions', 'amp crimes', 'endm7dictatorship']","['HUMAN RIGHTS MUST NOT BE DISCRIMINATIVE. &amp; are slapping #Russia with sanctions 4 invading #Ukraine YET no sanctions were put against after #NovMassacre &amp; other crimes he continues to commit.WHERE IS THE JUSTICE? #ENDM7Dictatorship', 'HUMAN RIGHTS MUST NOT BE DISCRIMINATIVE. &amp; are slapping #Russia with sanctions for invading #Ukraine YET no sanctions were put after #NovMassacre&amp;other crimes he continues to commit.WHERE IS THE JUSTICE? #ENDM7Dictatorship', 'HUMAN RIGHTS MUST NOT BE DISCRIMINATIVE. &amp; are slapping #Russia with sanctions 4 invading #Ukraine YET no sanctions were put after #NovMassacre &amp; other crimes he continues to commit.WHERE IS THE JUSTICE? #ENDM7Dictatorship']"
1238,18,1238_silent_silent russiaisaterroriststate_silent russiaisaterrorisstate_grain warehouse,"['silent', 'silent russiaisaterroriststate', 'silent russiaisaterrorisstate', 'grain warehouse', 'destroyed grain', 'silent silent', 'stay silent', 'russia destroyed', 'boruto コードギアス', 'better silent']","['is silent... is silent... is silent... wow now the world understand the ""civilized Europeans with blue eyes and blonde hair"" who really are! Thank you #Russia for exposing the hate and Nazism in Europe &amp; America. #StandWithRussia', 'Russia destroyed a grain warehouse in the Odesa district tonight. Why are you silent? #RussiaIsATerroristState', 'Quiet But Not Silent - MGSV: THE PHANTOM PAIN #ヒロアカ #FF7R #ガンダム #BORUTO #コードギアス #Ｇのレコンギスタ #FrozenTeardrop #hq #CSS #ISS #JUS #SAS #地球降下作戦6 #地球上陸作戦2 #宇宙総会 #拒否権 #UN #NSA #NATO #D10 #ECHELON #OSINT #SAR衛星']"
1239,18,1239_cholera_cholera outbreak_possible cholera_outbreak,"['cholera', 'cholera outbreak', 'possible cholera', 'outbreak', 'cholera epidemic', 'including cholera', 'infectious diseases', 'spread infectious', 'preparing possible', 'water supply']","['The World Health Organization is worried that the ruined water supply in #Mariupol could trigger the spread of infectious diseases, including #cholera.', 'WHO Preparing For Possible Cholera Outbreak In Mariupol #UkraineWar', '⚡️WHO preparing for possible cholera outbreak in #Russian-occupied Mariupol ""In #Mariupol, the extensive damage to water systems has mixed water with sewage,"" said WHO spokeswoman Margaret Harris. #Ukraine\'s Health Ministry also warned about the risk of a cholera outbreak.']"
1240,18,1240_brutal humanitarian_reports gt_impunity reports_tigray impunity,"['brutal humanitarian', 'reports gt', 'impunity reports', 'tigray impunity', 'continues brutal', 'suffering extreme', 'tigrayans suffering', 'food humanitarianaidfortigraynow', 'extreme lack', 'humanitarian blockade']","['🗣The #Ethiopian gov’t continues its brutal humanitarian blockade on #Tigray with impunity. Reports show that &gt;50% of Tigrayans are suffering from extreme lack of food. #HumanitarianAidForTigrayNow‼️', 'The #Ethiopian gov’t continues its brutal humanitarian blockade on #Tigray with impunity. Reports show that &gt;50% of #Tigrayans are suffering from extreme lack of food. #HumanitarianAidForTigrayNow', ""The #Ethiopian gov't continues its brutal humanitarian blockade on #Tigray with impunity. Reports show that &gt;50% of Tigrayans are suffering from extreme lack of food. #HumanitarianAidForTigrayNow""]"
1241,18,1241_response war_emergency response_eng_support emergency,"['response war', 'emergency response', 'eng', 'support emergency', 'recruiting', 'ukraine apply', 'apply', 'partnerships officer', 'share network', 'knowledge management']","['Ukrainian citizens❗️ We are recruiting for 🇺🇳Emergency Response to war in #Ukraine. Apply to join the teams of United Nations partners in Ukraine 🇺🇦 🔹 Data Analyst 🔹 Communications Assistant (UN Youth Volunteer) 🔹 IT Support Officer 👉', 'Here is YOUR chance to support emergency response to war in #Ukraine Join as #international specialist Standby Partnerships Officer in #Istanbul 🎓 HR, information management, BA 💼 5 yrs HR/knowledge management exp 💬 ENG ⏰ May 6 👉', '❗Here is YOUR chance to support emergency response to war in #Ukraine Join as #international specialist Standby Partnerships Officer in #Istanbul 🎓 HR, information management, BA 💼 5 yrs HR/knowledge management exp 💬 ENG ⏰ May 6 👉']"
1242,18,1242_sin_rev 22_rev_sin potus,"['sin', 'rev 22', 'rev', 'sin potus', '22 21', 'deeper', 'foolishness', 'canada let', 'repboebert context', 'prov']","['#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert Context... THE EPILOGUE (Rev 22:6-21) The truth of the revelation Rev. 22:6-9', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert Context... The benediction Rev. 22:21', '#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #Mexico #Canada #RepMTG #RepBoebert #RepAOC #İlhan National sin, Prov. 14:34 Open sin, 1 Tim. 5:24 Shameless sin, Is. 3:9']"
1243,18,1243_children displaced_unicef half_displaced russian_leave child,"['children displaced', 'unicef half', 'displaced russian', 'leave child', 'children left', '100 days', 'food poor', 'invasion unicef', 'displaced', 'month war']","['#WATCH According to #UNICEF, half of all the children in #Ukraine have been displaced by the #Russian invasion of the country reports ⤵️ #VMNews | #UkraineRussiaWar', '#Unicef: More than half of #Ukraine’s children displaced after one month of war | #PutinsWar', 'UNICEF: More than half of Ukrainian children displaced since Russian invasion #UNICEF #thelevant #Ukraine #RussiaInvadeUkraine']"
1244,18,1244_weapons claims_chemical weapons_gaslighting_chemical,"['weapons claims', 'chemical weapons', 'gaslighting', 'chemical', 'warns russia', 'gaslighting world', 'russia gaslighting', 'claims ukraine', 'chemical biological', 'ukraine bringing']","['US warns Russia is ""gaslighting the world"" as UN Security Council discusses chemical weapons claims #UkraineRussiaWar #UkraineRussianWar #Ukraine #UkraineRussia #UkraineUnderAttaсk #UkraineWar', 'US warns Russia is ""gaslighting the world"" as UN Security Council discusses chemical weapons claims ⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️ ⬅️⬅️ #Ukraine #UkraineRussiaWar #StandWithUkriane #Russia #Putin #UkraineUnderAttack', 'US warns Russia is ""gaslighting the world"" as UN Security Council discusses chemical weapons claims #Ukraine']"
1245,18,1245_entertainer cynthia_nom entertainer_nobelpeaceprize nom_entertainer,"['entertainer cynthia', 'nom entertainer', 'nobelpeaceprize nom', 'entertainer', 'nom', 'cynthia basinet', 'basinet', 'cynthia', 'basinet highlights', 'highlights bigtech']","['#NobelPeacePrize Nom #Entertainer #Cynthia Basinet Highlights #BigTech &amp; #BigMedia #Abuse To The #UN #HateWontWin #standwithukraine #facialrecognition #impostersyndrome #watch —-&gt;', '#NobelPeacePrize Nom #Entertainer #Cynthia Basinet Highlights #BigTech &amp; #BigMedia #Abuse To The #UN #HateWontWin #standwithukraine #facialrecognition #impostersyndrome #talentandwomenarenotswappable #watch —-&gt;', '#WBW #NobelPeacePrize-Nom #Entertainer #Cynthia Basinet Highlights #BigTech &amp; #BigMedia #Abuse To #UN #Watch #ImposterSyndrome #systemicracism #womensrights #standwithukraine #IPaintFree']"
